Имя;Номер работы;Раздел;Подраздел;Код системы;Номер страницы начальной;Номер страницы конечной;Номер фактической страницы
Срабатывание защиты от повышенного напряжения генератора правого двигателя, вызванное отказом блока управления генератором правого двигателя;24-20-00-810-941;24-20-00;810-941;24-20-00;201;202;383
Срабатывание защиты от пониженного напряжения генератора правого двигателя, вызванное коротоким замыканием или обрывом в цепи генератора на постоянных магнитах;24-20-00-810-942;24-20-00;810-942;24-20-00;201;202;385
Срабатывание защиты от пониженного напряжения генератора правого двигателя, вызванное КЗ в цепи возбудителя;24-20-00-810-943;24-20-00;810-943;24-20-00;201;202;387
Срабатывание защиты от пониженного напряжения генератора правого двигателя, вызванное обрывом в цепи возбудителя;24-20-00-810-944;24-20-00;810-944;24-20-00;201;202;389
Срабатывание защиты от пониженного напряжения генератора правого двигателя, вызванное регулированием блока управления генератора правого двигателя;24-20-00-810-945;24-20-00;810-945;24-20-00;201;202;391
Срабатывание защиты от пониженного напряжения генератора правого двигателя, вызванное обрывом фидера генератора правого двигателя;24-20-00-810-946;24-20-00;810-946;24-20-00;201;202;393
Срабатывание защиты от пониженного напряжения генератора правого двигателя, вызванное обрывом цепи точки регулирования генератора правого двигателя;24-20-00-810-947;24-20-00;810-947;24-20-00;201;202;395
Срабатывание защиты от пониженного напряжения генератора правого двигателя, вызванное обрывом цепи нейтрали точки регулирования;24-20-00-810-948;24-20-00;810-948;24-20-00;201;202;397
Срабатывание защиты от пониженного напряжения генератора правого двигателя, вызванное обрывом цепи нейтрали привод- генератора;24-20-00-810-949;24-20-00;810-949;24-20-00;201;202;399
Срабатывание защиты от пониженного напряжения генератора правого двигателя, вызванное отказом цепи точки регулирования или фидера;24-20-00-810-950;24-20-00;810-950;24-20-00;201;202;401
Срабатывание защиты от пониженного напряжения генератора правого двигателя, вызванное обрывом цепи нейтрали точки регулирования;24-20-00-810-951;24-20-00;810-951;24-20-00;201;202;403
Срабатывание защиты от пониженного напряжения генератора правого двигателя, вызванное обрывом цепи нейтрали фидера;24-20-00-810-952;24-20-00;810-952;24-20-00;201;202;405
Срабатывание защиты от повышенной частоты, вызванное отказом цепи определения частоты генератора правого двигателя;24-20-00-810-953;24-20-00;810-953;24-20-00;201;202;407
Срабатывание защиты от повышенной частоты, вызванное отказом цепи управлении током сервоклапана привод-генератора правого двигателя;24-20-00-810-954;24-20-00;810-954;24-20-00;201;202;409
Срабатывание защиты от повышенной частоты, вызванное отказом обратного провода сервоклапана;24-20-00-810-955;24-20-00;810-955;24-20-00;201;202;411
Срабатывание защиты от повышенной частоты при достижении частоты 480 ± 5 Hz привод-генератором правого двигателя;24-20-00-810-956;24-20-00;810-956;24-20-00;201;202;413
Срабатывание защиты от пониженной частоты, вызванное коротким замыканием или обрывом в цепи вращающихся диодов генератора правого двигателя;24-20-00-810-957;24-20-00;810-957;24-20-00;201;202;415
Срабатывание защиты от пониженной частоты, вызванное отказом цепи определения частоты генератора на постоянных магнитах генератора правого двигателя;24-20-00-810-958;24-20-00;810-958;24-20-00;201;202;417
Срабатывание защиты от пониженной частоты, вызванное отказом цепи управлении током сервоклапана привод-генератора правого двигателя;24-20-00-810-959;24-20-00;810-959;24-20-00;201;202;419
Срабатывание защиты от пониженной частоты, вызванное срабатыванием термической защиты привод-генератора правого двигателя;24-20-00-810-960;24-20-00;810-960;24-20-00;201;202;421
Срабатывание защиты от пониженной частоты, вызванное низким давлением масла привод-генератора правого двигателя;24-20-00-810-961;24-20-00;810-961;24-20-00;201;202;423
Срабатывание защиты от пониженной частоты, вызванное низким давлением масла привод-генератора правого двигателя;24-20-00-810-962;24-20-00;810-962;24-20-00;201;202;425
Срабатывание защиты от пониженной частоты, вызванное отсутствием тока сервоклапана привод-генератора правого двигателя;24-20-00-810-963;24-20-00;810-963;24-20-00;201;202;427
Срабатывание защиты от пониженной частоты, вызванное отказом привод-генератора правого двигателя;24-20-00-810-964;24-20-00;810-964;24-20-00;201;202;429
Срабатывание защиты от короткого замыкания в цепи вращающихся диодов, вызванное отказом в цепи обмотки возбуждения генератора правого двигателя;24-20-00-810-965;24-20-00;810-965;24-20-00;201;202;431
Срабатывание защиты от короткого замыкания в цепи вращающихся диодов, вызванное отказом привод-генератора правого двигателя;24-20-00-810-966;24-20-00;810-966;24-20-00;201;202;433
Срабатывание дифференциальной защиты по току, вызванное отказом цепи определения тока генератора правого двигателя;24-20-00-810-967;24-20-00;810-967;24-20-00;201;202;435
Срабатывание дифференциальной защиты по току генератора правого двигателя, вызванное отказом блока трансформатора тока генератора;24-20-00-810-968;24-20-00;810-968;24-20-00;201;202;437
Срабатывание дифференциальной защиты по току генератора правого двигателя, вызванное отказом блока трансформатора тока;24-20-00-810-969;24-20-00;810-969;24-20-00;201;202;439
Срабатывание дифференциальной защиты по току, вызванное наличием КЗ генератора или фидера генератора правого двигателя;24-20-00-810-970;24-20-00;810-970;24-20-00;201;202;441
Срабатывание защиты от превышения тока генератора правого двигателя, вызванное отказом цепи контроля тока;24-20-00-810-971;24-20-00;810-971;24-20-00;201;202;443
Срабатывание защиты от превышения тока генератора правого двигателя, вызванное отказом шины;24-20-00-810-972;24-20-00;810-972;24-20-00;201;204;445
Неправильный порядок чередования фаз генератора правого двигателя;24-20-00-810-973;24-20-00;810-973;24-20-00;201;202;449
Отказ сервоклапана привод-генератора правого двигателя;24-20-00-810-974;24-20-00;810-974;24-20-00;201;202;451
Срабатывание ручного расцепления привод-генератора и коробки приводов правого двигателя;24-20-00-810-975;24-20-00;810-975;24-20-00;201;202;453
Отказ при ручном расцеплении привод-генератора и коробки приводов правого двигателя;24-20-00-810-976;24-20-00;810-976;24-20-00;201;202;455
Срабатывание защиты от обрыва фаз генератора правого двигателя, вызванное обрывом фазы A;24-20-00-810-977;24-20-00;810-977;24-20-00;201;202;457
Срабатывание защиты от обрыва фаз генератора правого двигателя, вызванное обрывом фазы B;24-20-00-810-978;24-20-00;810-978;24-20-00;201;202;459
Срабатывание защиты от обрыва фаз генератора правого двигателя, вызванное обрывом фазы C;24-20-00-810-979;24-20-00;810-979;24-20-00;201;202;461
"""Холодный старт"" блока управления генератором правого двигателя после прерывания питания блока ";24-20-00-810-980;24-20-00;810-980;24-20-00;201;202;463
Неисправность внутренней цепи блока управления генератором правого двигателя (цепь определения состояния сигнального контакта контактора К2);24-20-00-810-981;24-20-00;810-981;24-20-00;201;202;465
